Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Label
142.250.192.195-172.17.237.22-443-60054-17,172.17.237.22,60054,142.250.192.195,443,17,22-12-21 13:05,278212,Normal
172.17.237.22-40.126.17.135-58378-443-6,172.17.237.22,58378,40.126.17.135,443,6,22-12-21 13:06,547217,Normal
172.17.237.22-52.159.49.199-59048-443-6,172.17.237.22,59048,52.159.49.199,443,6,22-12-21 13:06,28069541,Normal
172.17.237.22-20.189.173.6-48764-443-6,172.17.237.22,48764,20.189.173.6,443,6,22-12-21 13:06,27097603,Normal
172.17.237.22-20.189.173.6-48746-443-6,172.17.237.22,48746,20.189.173.6,443,6,22-12-21 13:06,30173649,Normal
172.17.237.22-40.74.219.49-49504-443-6,172.17.237.22,49504,40.74.219.49,443,6,22-12-21 13:06,29345624,Normal
172.17.237.22-52.163.231.110-45974-443-6,172.17.237.22,45974,52.163.231.110,443,6,22-12-21 13:06,29361664,Normal
172.17.237.22-13.76.153.29-36890-443-6,172.17.237.22,36890,13.76.153.29,443,6,22-12-21 13:06,29361703,Normal
172.17.237.22-52.159.49.199-59048-443-6,172.17.237.22,59048,52.159.49.199,443,6,22-12-21 13:06,207942,Normal
172.17.237.22-20.189.173.6-48764-443-6,172.17.237.22,48764,20.189.173.6,443,6,22-12-21 13:06,207961,Normal
172.17.237.22-20.189.173.6-48746-443-6,172.17.237.22,48746,20.189.173.6,443,6,22-12-21 13:06,207974,Normal
172.17.237.22-40.74.219.49-49504-443-6,172.17.237.22,49504,40.74.219.49,443,6,22-12-21 13:06,207987,Normal
172.17.237.22-52.163.231.110-45974-443-6,172.17.237.22,45974,52.163.231.110,443,6,22-12-21 13:06,208001,Normal
172.17.237.22-13.76.153.29-36890-443-6,172.17.237.22,36890,13.76.153.29,443,6,22-12-21 13:06,208022,Normal
172.17.237.22-52.159.49.199-59048-443-6,172.17.237.22,59048,52.159.49.199,443,6,22-12-21 13:06,831988,Normal
172.17.237.22-20.189.173.6-48764-443-6,172.17.237.22,48764,20.189.173.6,443,6,22-12-21 13:06,832004,Normal
172.17.237.22-20.189.173.6-48746-443-6,172.17.237.22,48746,20.189.173.6,443,6,22-12-21 13:06,832016,Normal
172.17.237.22-40.74.219.49-49504-443-6,172.17.237.22,49504,40.74.219.49,443,6,22-12-21 13:06,832027,Normal
172.17.237.22-52.163.231.110-45974-443-6,172.17.237.22,45974,52.163.231.110,443,6,22-12-21 13:06,832039,Normal
172.17.237.22-13.76.153.29-36890-443-6,172.17.237.22,36890,13.76.153.29,443,6,22-12-21 13:06,832054,Normal
172.17.237.22-52.159.49.199-59048-443-6,172.17.237.22,59048,52.159.49.199,443,6,22-12-21 13:06,3388049,Normal
172.17.237.22-20.189.173.6-48764-443-6,172.17.237.22,48764,20.189.173.6,443,6,22-12-21 13:06,3388066,Normal
172.17.237.22-20.189.173.6-48746-443-6,172.17.237.22,48746,20.189.173.6,443,6,22-12-21 13:06,3388078,Normal
172.17.237.22-40.74.219.49-49504-443-6,172.17.237.22,49504,40.74.219.49,443,6,22-12-21 13:06,3388090,Normal
172.17.237.22-52.163.231.110-45974-443-6,172.17.237.22,45974,52.163.231.110,443,6,22-12-21 13:06,3388104,Normal
172.17.237.22-13.76.153.29-36890-443-6,172.17.237.22,36890,13.76.153.29,443,6,22-12-21 13:06,3388121,Normal
172.17.237.22-52.159.49.199-59048-443-6,172.17.237.22,59048,52.159.49.199,443,6,22-12-21 13:06,13311945,Normal
172.17.237.22-20.189.173.6-48764-443-6,172.17.237.22,48764,20.189.173.6,443,6,22-12-21 13:06,13311972,Normal
172.17.237.22-20.189.173.6-48746-443-6,172.17.237.22,48746,20.189.173.6,443,6,22-12-21 13:06,13311991,Normal
172.17.237.22-40.74.219.49-49504-443-6,172.17.237.22,49504,40.74.219.49,443,6,22-12-21 13:06,13312007,Normal
172.17.237.22-52.163.231.110-45974-443-6,172.17.237.22,45974,52.163.231.110,443,6,22-12-21 13:06,13312023,Normal
172.17.237.22-13.76.153.29-36890-443-6,172.17.237.22,36890,13.76.153.29,443,6,22-12-21 13:06,13312049,Normal
142.250.193.205-172.17.237.22-443-48444-6,172.17.237.22,48444,142.250.193.205,443,6,22-12-21 13:06,73978740,Normal
172.217.167.206-172.17.237.22-443-43128-6,172.17.237.22,43128,172.217.167.206,443,6,22-12-21 13:06,73477250,Normal
172.17.237.31-224.0.0.251-5353-5353-17,172.17.237.31,5353,224.0.0.251,5353,17,22-12-21 13:06,1601928,Normal
172.17.237.255-172.17.237.31-57621-57621-17,172.17.237.31,57621,172.17.237.255,57621,17,22-12-21 13:06,37921926,Normal
172.17.237.22-34.246.125.123-51842-443-6,172.17.237.22,51842,34.246.125.123,443,6,22-12-21 13:06,89201945,Normal
142.250.206.174-172.17.237.22-443-40953-17,172.17.237.22,40953,142.250.206.174,443,17,22-12-21 13:06,111344344,Normal
172.17.237.22-13.76.153.29-36898-443-6,172.17.237.22,36898,13.76.153.29,443,6,22-12-21 13:06,119999891,Normal
172.17.172.3-172.17.237.20-53-53-17,172.17.172.3,53,172.17.237.20,53,17,22-12-21 13:06,111910504,Normal
172.17.237.68-239.255.255.250-64812-1900-17,172.17.237.68,64812,239.255.255.250,1900,17,22-12-21 13:06,6004469,Normal
172.217.167.206-172.17.237.22-443-34617-17,172.17.237.22,34617,172.217.167.206,443,17,22-12-21 13:06,717828,Normal
169.254.178.109-239.255.255.250-61244-1900-17,169.254.178.109,61244,239.255.255.250,1900,17,22-12-21 13:06,3022420,Normal
172.17.237.22-74.125.200.188-35868-5228-6,172.17.237.22,35868,74.125.200.188,5228,6,22-12-21 13:06,97817,Normal
